Name,Age,garbage_disposal,importance_of_clean_surrounding,dental_care,sickness_prevention,clean_nails,message,study_material,likes_learning,learn_with_others,message,touch_private_parts_without_consent,approach_grownup_when_feeling_unsafe,speakup_if_touched_inappropriately,say_no_if_inappropriate_touch,physical_contact_if_uncomfortable,message
Kimaya Sathe,7,Yes,No,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Gatik Ratta,7,Yes,Yes,Yes,No,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,Yes,Yes,Yes,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Shamik Biswas,7,No,No,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Jayan Deshmukh,6,No,Yes,No,No,No,Keep your nails clean for good hygiene and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Amira Setty,10,No,Yes,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Nitya Rajan,10,Yes,No,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Zeeshan Sood,6,No,No,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Dhruv Devi,7,Yes,Yes,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Prisha Kurian,9,Yes,No,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Vihaan Chatterjee,7,No,No,Yes,No,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,Yes,No,Yes,Be your own teacher! Try to learn on your own and never give up.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Ritvik Ramanathan,8,No,No,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Suhana Ganesan,10,Yes,Yes,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Shalv Deep,10,No,Yes,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Indranil Amble,6,No,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Damini Chand,8,No,No,Yes,No,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Nayantara Keer,8,Yes,Yes,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,No,Yes,Be your own teacher! Try to learn on your own and never give up.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Chirag Basak,9,Yes,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Tejas Dube,5,Yes,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Sara Korpal,5,Yes,No,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Amani Shroff,10,Yes,No,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Khushi Singh,10,No,No,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,Yes,Be your own teacher! Try to learn on your own and never give up.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Yuvraj  Talwar,6,No,Yes,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Aaina Talwar,7,No,Yes,Yes,Yes,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Vaibhav Setty,10,Yes,Yes,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Ela Dugar,8,Yes,Yes,Yes,No,Yes,Keep your nails clean for good hygiene and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Hrishita Kibe,9,No,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Priyansh Krishnan,9,No,Yes,Yes,No,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Vihaan Dhar,6,Yes,Yes,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Aniruddh Toor,10,Yes,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Nirvi Reddy,5,No,Yes,Yes,No,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Ahana  Venkatesh,5,No,Yes,Yes,No,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Tarini Shankar,9,No,No,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Trisha Kibe,5,No,Yes,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Alia Swaminathan,5,Yes,Yes,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Madhav Brar,5,No,Yes,Yes,No,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Prerak Varghese,7,Yes,Yes,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Zara Thakur,9,No,No,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Trisha Dhar,8,No,No,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Anay Seth,5,Yes,Yes,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Rania Sur,7,No,Yes,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,Yes,Be your own teacher! Try to learn on your own and never give up.,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Tarini Sani,6,Yes,Yes,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Diya Dora,8,No,No,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Shayak Dara,6,Yes,Yes,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,Yes,Be your own teacher! Try to learn on your own and never give up.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Hazel Solanki,10,No,Yes,Yes,No,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Vihaan Sha,5,No,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,Yes,Try learning on your own. Don't let your curiosity and willingness to learn go away.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Madhav Singh,5,Yes,No,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Zeeshan Sha,10,Yes,No,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Rohan Dey,6,No,No,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Sara Bawa,7,Yes,Yes,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Yakshit Chandra,9,No,No,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Shlok Wagle,5,Yes,Yes,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,Yes,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Aarush Lall,10,No,Yes,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,No,Yes,Try learning on your own. Don't let your curiosity and willingness to learn go away.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Aarav Kant,5,No,No,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Trisha Saha,6,No,Yes,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Pari Buch,7,Yes,No,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Keya Sethi,6,No,Yes,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Saanvi Batta,7,Yes,No,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Divyansh Chatterjee,5,No,Yes,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Indrans Chad,9,Yes,No,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,Yes,Try learning on your own. Don't let your curiosity and willingness to learn go away.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Hridaan Lata,6,No,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Arhaan Bahri,8,No,Yes,Yes,Yes,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Shanaya Gala,9,Yes,No,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Arhaan Ranganathan,9,Yes,Yes,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Charvi Hari,6,Yes,Yes,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Hridaan Apte,5,Yes,Yes,Yes,No,Yes,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,Yes,Try learning on your own. Don't let your curiosity and willingness to learn go away.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Onkar Sabharwal,8,Yes,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,Yes,Try learning on your own. Don't let your curiosity and willingness to learn go away.,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Raunak Kannan,9,Yes,No,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Lavanya Bhattacharyya,6,No,Yes,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,Yes,Try learning on your own. Don't let your curiosity and willingness to learn go away.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Amira Chokshi,5,Yes,No,Yes,No,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Nitya Sani,7,No,Yes,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Neysa Hayre,5,No,Yes,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Taran Kothari,6,No,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Hridaan Gupta,9,No,Yes,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Diya Chokshi,10,No,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Jhanvi Sankaran,7,Yes,No,Yes,No,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Krish Tak,5,Yes,No,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Rati Shroff,9,No,Yes,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Drishya Wason,5,No,Yes,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,Yes,Yes,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Anahi Sachdeva,6,Yes,Yes,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Darshit Bera,8,Yes,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Jhanvi Batra,7,No,No,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Faiyaz Bawa,8,No,No,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Kashvi Srinivasan,9,No,No,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,Yes,Try learning on your own. Don't let your curiosity and willingness to learn go away.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Samiha Ramakrishnan,9,No,No,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Piya Deo,8,No,No,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Arhaan Salvi,10,Yes,Yes,Yes,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,Yes,Yes,Try learning on your own. Don't let your curiosity and willingness to learn go away.,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Dishani Gour,6,Yes,Yes,No,No,No,Keep your nails clean for good hygiene and overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Saira Kakar,9,No,Yes,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Priyansh Srinivasan,10,Yes,No,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Indrajit Sarna,5,Yes,No,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Raunak Kari,8,No,Yes,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Mohanlal Deshmukh,7,No,Yes,No,No,No,Keep your nails clean for good hygiene and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Aniruddh Karnik,6,No,Yes,Yes,No,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,Yes,Yes,Yes,Be your own teacher! Try to learn on your own and never give up.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Kashvi Sami,9,Yes,Yes,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Trisha Yogi,9,Yes,Yes,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Armaan Chahal,7,Yes,Yes,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Shamik Lata,6,No,Yes,Yes,No,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,Yes,No,Yes,Try learning on your own. Don't let your curiosity and willingness to learn go away.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Anahi Buch,5,No,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,Yes,Be your own teacher! Try to learn on your own and never give up.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Ira Balay,9,Yes,Yes,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Samaira Rajagopal,6,Yes,Yes,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Neysa Jani,6,No,Yes,Yes,Yes,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
